rating,title,status,pros,cons,advice,Recommend,CEO Approval,Business Outlook,Career Opportunities,Compensation and Benefits,Senior Management,Work/Life Balance,Culture & Values,Diversity & Inclusion,firm_link,date,job,index
3.0,ok company,Current Employee,"Employee stock ownership plan that contributes Publix stock to associates each year at no cost to them
An opportunity to purchase additional shares of our privately held stock
Annual holiday cash bonus
All hourly associates are paid weekly
401(k) retirement savings plan with a company match
Group health plan (with prescription benefits)
Group dental plan
Group vision plan
Free flu shots
Direct deposit in up to three separate checking or savings accounts
Credit union membership
Tuition reimbursement
Service awards
Employee assistance program
Opportunities for advancement
Opportunity to participate annually in a survey to let management know your opinion on a wide range of workplace quality issues",If you don't work 1500 hours a year you get no benefits you have to be vested 3 years at over 1000 hours per year in order to get free stocks to do good luck to you,,x,r,r,5,3,2,3,3.0,2.0,Reviews/Publix-Reviews-E613700.htm,2020-11-02, Deli Clerk,
2.0,"Publix prides itself on its provision of premier customer service, and that is the only avenue where they excel.","Former Employee, more than 1 year","A clean and tidy storefront, usually friendly staff.","Poor communication and decision making from management, priorities seem to change with the season, employee well being no amongst them.",,x,x,x,2,1,3,3,3.0,4.0,Reviews/Publix-Reviews-E613700.htm,2020-12-04, Sales Associate,
4.0,"Amazing company, no regrets",Current Employee,"Very caring for their employees. The benefits is what is very amazing for the company. The ability to purchase stock, setting up 401ks, and the unique atmosphere to be around. Love interacting with people.","For customer service, understaffed almost all the time, so cashiers barely get help from baggers or staff help. Pay does not match the quality effort that we perform at the company.",,v,v,v,5,5,5,4,4.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-10-08, Part Time Cashier,
4.0,An Average Part Time Job,Former Employee,I started young and was able to successfully advance with hard work and dedication. I was able to increase my income over three years and gain the respect of local management. Your team can be a great way to help with success.,"An average or below average part time job. Hours are almost nowhere near consistent for part time individuals, the pay is not significant unless you work hard and receive positive evaluations. Time for advancement can be slow and your team and managers can be hit or miss. Working in CS and engaging with old, white, privileged customers can get annoying quickly. You have to be able to smile through it all and ALWAYS provide premier quality customer service.",,v,r,v,3,2,2,2,3.0,1.0,Reviews/Publix-Reviews-E613700.htm,2020-10-16, Sutdent,
3.0,It's like a war behind the scenes,"Current Employee, more than 1 year","I don't have any pros. I would say the benefits, but you need to work at Publix for 1 year in order to get Health benefits. About 4 - 6 months for Dental benefits.

Publix is great for short term, it's only good for long-term if you have nothing in your life to do and never went to college.","Management is half and half. At least at my store they give great hours but for how much work I do, I only get paid $10.50. 

I also was told I was getting promoted to get paid more, but that hasn't reflected in my Publix org profile for 3 weeks now. I've been working at Publix since COVID started and haven't gotten one evaluation yet either to get promoted even further.

If you have employees not pushing their own weight, they won't let them go. Especially in a smaller store, they need all the help they can get.

Publix takes pride in ""Intolerant of waste"" although each night tons of waste gets trashed. People who didn't buy the extra chicken they made or the hundreds of donuts. Publix should be donating this food to food banks each night instead of tossing it. That's if they really have these core values in place.

1 of our full time front end employees hasn't been to work for like 5 months and they don't want to let her go and give her benefits to someone else. Speaking of full time, an employee in the Deli who worked at Publix for only 3 months got full time even though he's horrible at his job. Nice management.

2 people in my store got COVID-19, but no management staff wanted to inform us who had it. We also found out about this issue through our employee Portal, they don't even tell us in person. CEO of Publix doesn't care about your safety.",,x,r,x,3,2,2,3,3.0,3.0,Reviews/Publix-Reviews-E613700.htm,2020-12-29, Cashier,
1.0,A Nightmare to work for,"Current Employee, more than 5 years",Barely able to afford rent,"Incompitent, bigoted, overworked, understaffed, underpaid",,x,x,x,1,1,1,1,1.0,1.0,Reviews/Publix-Reviews-E613700.htm,2020-10-29, Deli Clerk,
5.0,Publix is an amazing company to work for,"Current Employee, more than 1 year","honestly the best job i've had in 13 years. From 15 years old starting to dig ditches for my dad's irrigation company too about 21 years old i tried a few different jobs, and finally settled on a career of meat cutting. since then I've worked for 4 retailers and Publix is above and beyond the best to work for. I am hoping to soon advance into department management, and I honestly feel like I can make a career in this company through hard work and dedication.",can't think of any right now.,,v,v,v,5,4,5,4,5.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-12-16, Meat Cutter,
4.0,Awesome place to work,"Current Employee, less than 1 year","There is nothing “hard” about this job, of course it is work and there will be challenges but nothing is super hard. I am always greeted by my coworkers and even those in other departments make sure they smile and speak. Everyone makes me feel comfortable and it’s definitely a family vibe! The benefits offered are amazing even part time workers are offered health insurance.","You pretty much HAVE to have open availability in order to be a full timer. You also have to come in pretty much anytime they need you to and if you can’t, you lessen your chances of being a full timer (even if it’s your day off). I’m not sure if this flexibility con is dependent on the store location or if it’s all Publix stores.",,v,r,r,5,5,5,3,4.0,,Reviews/Publix-Reviews-E613700.htm,2020-08-25, Deli Clerk,
4.0,Great First Job,"Former Employee, less than 1 year",The people are generally nice and they are really flexible with scheduling. If you're in high school or just looking for something on the side for a little extra money I know a ton of people who use Publix as a secondary stream of income and a getaway from their primary work.,"If you don't know how to have confrontations with people, mostly customers, this may not be the role for you. Sometimes people will say things that may rub you the wrong way, but it is definitely in the best interests of everybody involved that you learn how to shake off or defuse those situations to mitigate negativity in the work place.",,x,r,v,4,5,5,5,4.0,4.0,Reviews/Publix-Reviews-E613700.htm,2020-11-09, Front Service Clerk (Bagger),
3.0,Publix Customer Service Dept,"Former Employee, more than 5 years","If you get full-time, they give you free stock as part of the profit sharing plan. You also get a small bonus around the holiday (if you're full-time).",If you punch in exactly 3 MINUTES late it's considered a tardy. Get more than 3 of those per 6-month period and you won't get a raise. The hours are crazy. Bosses micromanage and push you hard.,,x,x,v,4,2,5,1,4.0,3.0,Reviews/Publix-Reviews-E613700.htm,2020-12-18, Customer Service Office Staff,
